,bc_lb_rf0.2_sax0.5_poi80.0,bc_lb_rf0.45_sax0.75_poi80.0,bc_mb_rf0.175_sax0.5_poi80.0,bc_mb_rf0.3_sax0.75_poi80.0,bc_mb_rf0.5_sax1.0_poi80.0,lb_rf0.175_sax0.5_poi80.0,lb_rf0.35_sax0.75_poi80.0,mb_rf0.175_sax0.75_poi80.0
18344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18351,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18360,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18365,0.4145414284001081,0.366461445497972,0.5311483882504162,0.43774239062835285,0.4891038031991428,0.41381225578276304,0.3548541472420368,0.5900112516815286
18366,0.633794409267189,0.7320809060322944,0.536406460943753,0.4263702019430369,0.077351313843117,0.534133045577363,0.47644799577948405,0.21049006857166042
18367,1.1611785407543964,1.1433344473316112,1.147563959312273,1.3082612925484227,1.5607585305396903,1.1166133864993255,1.2391009622775755,1.3820781134014588
